Ulke_Kodu;Ulke_Adi;Kita;Gelismiþlik_Durumu;Yil;Yasam_Beklentisi;Lise_Okullasma_Orani;Kisi_Basi_Saglik_Harcamasi;Hava_Kirliligi_PM25;Nufus;Bebek_Olum_Orani;Bes_Yas_Alti_Olum;Asi_Hepatit_B;Asi_Kizamik;Asi_Difteri;HIV_Prevalansi;Alkol_Tuketimi;Yenilenebilir_Enerji_Payi;Fosil_Yakit_Tuketimi;Kisi_Basi_Enerji_Tuketimi;Komur_Elektrik_Payi;Yenilenebilir_Elektrik_Payi;Orman_Alani_Yuzdesi;Orman_Alani_KM2;Tarim_Arazisi_Yuzdesi;Tatli_Su_Cekim_Orani;Guvenli_Icme_Suyu_Erisimi;Guvenli_Sanitasyon_Erisimi
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2000;74,826;70,31864929;65,47674561;22,26518857;3089027;17,8;27;96;95;97;0,1;4,43;41,4;58,62622522;581,374749;0;0;28,07664234;7693;41,75182482;6,83197026;49,13831997;22,87998737
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2001;75,083;72,48457336;73,92171478;22,36600621;3060173;17;25,6;96;95;97;0,1;4,43;39;60,85769743;598,2283171;0;0,003753351;28,12324818;7705,77;41,56934307;6,507286245;49,08119867;23,47597433
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2002;75,299;74,53891754;78,72909546;22,48278512;3051010;16,1;24,3;96;96;98;0,1;4,57;35,8;63,13079253;661,1179516;0;0,007223114;28,16985401;7718,54;41,60583942;6,18260223;48,9847658;24,0367366
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2003;75,557;77,75182343;105,436676;22,59344935;3039616;15,2;22,9;97;93;97;0,1;4,58;33,7;64,41016812;649,3578811;0;0,005408654;28,21645985;7731,31;40,91240876;5,857918216;48,88544262;24,57677109
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2004;75,951;78,98018646;136,5072479;22,67592295;3026939;14,4;21,4;99;96;97;0,1;4,98;35,8;65,46766838;716,6231459;0;0,004816268;28,26306569;7744,08;40,94890511;5,533234201;50,71767846;25,09591032
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2005;76,427;82,97142792;149,9751587;22,70812997;3011487;13,5;20;98;97;98;0,1;5,3;36,8;66,34901632;721,0774074;0;0,0049605;28,30967153;7756,85;39,30656934;5,208550186;52,57833499;25,871434
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2006;76,994;84,32576752;164,2209015;22,5109696;2992547;12,7;18,5;98;95;97;0,1;5,64;31,6;64,36209553;707,8906065;0;0,004887762;28,35627737;7769,62;40,87591241;4,730185874;54,46708247;26,65914384
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2007;77,691;86,21885681;209,3191071;22,04122997;2970017;11,9;17,1;98;97;98;0,1;5,81;32;65,01849464;680,9481662;0;0,009440559;28,40288321;7782,39;40,83941606;4,638438662;56,38384292;27,42442168
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2008;78,248;87,83383942;237,1034088;21,48066857;2947314;11,1;15,8;99;98;99;0,1;6;35,8;63,7091916;712,287869;0;0,007110877;28,44948905;7795,16;43,10218978;4,54669145;58,32848068;28,16723497
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2009;78,509;89,3157196;236,9424439;21,01104291;2927519;10,3;14,5;98;97;98;0,1;5,94;37,1;63,27129499;734,0578099;0;0,007881584;28,49609489;7807,93;43,84306569;4,454944238;60,30090743;28,88826295
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2010;78,414;93,68182373;253,9824677;20,81411047;2913021;9,6;13,3;99;99;99;0,1;5,9;37;63,07473062;731,0533975;0;0,007135307;28,54270073;7820,7;43,84306569;4,363197026;62,30063015;29,58671586
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2011;78,303;95,47052765;273,7529297;22,79990425;2905195;9;12,2;99;99;99;0,1;5,58;35,8;61,34830548;766,8946175;0;0,018372703;28,59465328;7834,935;43,83211679;4,271449814;64,32739937;30,26324333
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2012;78,084;97,60861206;260,683197;20,96272041;2860708;8,5;11,2;99;98;99;0,1;5,37;39,9;57,58861587;699,4448977;0;0,019470899;28,64660584;7849,17;43,84306569;4,179702602;66,38085285;30,9175596
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2013;77,995;102,9032095;276,0765686;19,40753225;2816902;8;10,5;99;99;99;0,1;5,04;41,1;56,22837288;826,0183849;0;0,014800977;28,69855839;7863,405;43,33211679;4,08795539;68,45983183;34,32841065
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2014;78,029;103,3213775;293,1267395;19,36794422;2773767;7,8;9,9;99;98;99;0,1;5;38,6;61,23871571;844,59008;0;0,034504657;28,75051095;7877,64;42,85729927;3,996208178;70,56325735;37,74912237
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2015;78,358;102,4407293;253,9334717;19,12155731;2731293;7,6;9,6;99;97;99;0,1;5,04;38,5;47,35338698;803,9874481;0;0,024257846;28,8024635;7891,875;42,85766423;3,420074349;70,5919729;41,17939197
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2016;78,643;99,17075505;275,4367676;17,60216399;2689469;7,6;9,4;99;96;99;0,1;5,13;39,4;0;840,6193636;0;0,013621177;28,80218978;7891,8;43,12773723;4,059479554;70,61650673;44,61811376
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2017;78,9;97,57436975;295,523468;18,55524382;2648285;7,7;9,3;99;96;99;0,1;5,13;36,9;0;894,4663996;0;0,048166151;28,79206204;7889,025;42,8569708;4,055762082;70,63694076;48,06461132
ALB;Albania;Avrupa ve Orta Asya;Üst-Orta Gelirli;2018;79,238;98,82238786;349,2112732;19,04618623;2607733;7,8;9,3;99;94;99;0,1;5,11;37,8;0;904,7397747;0;0,01730387;28,7919708;7889;42,84967153;3,56133829;70,65335205;51,5182822
